zone_id,timestamp,methane_pct,co_ppm,oxygen_pct,dust_mg_m3,temperature_c,humidity_pct,sensor_status
A-01,2026-09-01 18:00:00,0.312,6.13,20.89,1.54,25.07,58.49,online
A-01,2026-09-01 19:00:00,0.305,7.43,20.8,1.09,29.32,68.89,online
A-01,2026-09-01 20:00:00,0.303,10.03,20.86,1.09,28.55,60.21,online
A-01,2026-09-01 21:00:00,0.335,7.91,20.78,1.13,29.83,64.23,online
A-01,2026-09-01 22:00:00,0.283,7.37,20.86,1.39,28.62,67.15,online
A-01,2026-09-01 23:00:00,0.386,7.27,20.74,1.1,28.92,70.64,online
A-01,2026-09-02 00:00:00,0.295,6.49,20.7,1.46,29.11,67.72,online
A-01,2026-09-02 01:00:00,0.273,8.42,20.81,1.35,29.31,66.12,online
A-01,2026-09-02 02:00:00,0.327,8.12,20.83,1.46,25.81,63.4,online
A-01,2026-09-02 03:00:00,0.281,6.85,20.77,1.67,26.7,69.84,online
A-01,2026-09-02 04:00:00,0.233,7.4,20.82,1.45,29.07,68.97,online
A-01,2026-09-02 05:00:00,0.286,7.17,20.9,1.25,26.09,59.33,online
A-01,2026-09-02 06:00:00,0.263,8.89,20.82,1.47,27.36,65.79,online
A-01,2026-09-02 07:00:00,0.325,7.44,20.85,1.13,27.46,63.09,online
A-01,2026-09-02 08:00:00,0.252,8.88,20.74,1.3,28.72,67.23,online
A-01,2026-09-02 09:00:00,0.327,7.82,20.75,1.28,25.47,57.76,online
A-01,2026-09-02 10:00:00,0.247,6.2,20.85,1.07,27.43,71.5,online
A-01,2026-09-02 11:00:00,0.286,9.33,20.69,1.25,26.57,63.3,online
A-01,2026-09-02 12:00:00,0.334,4.89,20.85,1.36,27.11,57.77,online
A-01,2026-09-02 13:00:00,0.303,7.05,20.83,1.31,30.4,63.8,online
A-01,2026-09-02 14:00:00,0.259,8.32,20.83,1.64,29.25,66.78,online
A-01,2026-09-02 15:00:00,0.359,5.86,20.72,1.07,27.42,58.12,online
A-01,2026-09-02 16:00:00,0.325,7.6,20.62,1.05,28.47,69.19,online
A-01,2026-09-02 17:00:00,0.38,13.24,20.85,1.05,24.8,66.34,online
A-02,2026-09-01 18:00:00,0.267,7.25,20.73,1.26,29.6,65.79,online
A-02,2026-09-01 19:00:00,0.294,6.14,20.6,1.18,27.92,73.84,online
A-02,2026-09-01 20:00:00,0.305,9.77,20.74,1.0,26.55,61.37,online
A-02,2026-09-01 21:00:00,0.385,6.52,20.9,1.07,29.4,66.92,online
A-02,2026-09-01 22:00:00,0.294,7.93,20.72,1.41,27.32,58.87,online
A-02,2026-09-01 23:00:00,0.249,8.31,20.99,1.34,27.82,66.43,online
A-02,2026-09-02 00:00:00,0.352,8.39,20.75,1.58,28.64,72.68,online
A-02,2026-09-02 01:00:00,0.307,5.8,20.64,1.71,30.59,64.1,online
A-02,2026-09-02 02:00:00,0.285,10.63,20.67,1.08,28.96,63.03,online
A-02,2026-09-02 03:00:00,0.3,7.71,20.84,1.65,28.14,68.22,online
A-02,2026-09-02 04:00:00,0.218,7.91,20.7,1.0,26.68,63.33,online
A-02,2026-09-02 05:00:00,0.337,5.61,20.8,1.18,27.51,70.01,online
A-02,2026-09-02 06:00:00,0.322,10.41,20.78,1.13,27.66,66.21,online
A-02,2026-09-02 07:00:00,0.307,6.05,20.81,1.36,31.78,74.38,online
A-02,2026-09-02 08:00:00,0.266,7.48,20.62,1.15,28.47,71.03,online
A-02,2026-09-02 09:00:00,0.271,6.82,20.54,1.26,26.41,62.35,online
A-02,2026-09-02 10:00:00,0.265,7.83,20.59,0.93,31.19,58.56,online
A-02,2026-09-02 11:00:00,0.256,11.31,21.15,1.01,27.45,66.71,online
A-02,2026-09-02 12:00:00,0.369,6.22,20.77,1.49,28.65,63.12,online
A-02,2026-09-02 13:00:00,0.295,5.53,20.77,1.23,28.35,62.22,online
A-02,2026-09-02 14:00:00,0.319,9.82,20.82,1.39,28.08,65.0,online
A-02,2026-09-02 15:00:00,0.271,8.57,20.79,1.82,30.36,66.93,online
A-02,2026-09-02 16:00:00,0.269,6.0,20.94,1.37,28.72,56.28,online
A-02,2026-09-02 17:00:00,0.337,8.82,20.67,1.18,28.4,65.26,online
B-11,2026-09-01 18:00:00,0.288,7.81,20.77,1.34,30.21,52.17,online
B-11,2026-09-01 19:00:00,0.291,8.32,20.84,1.21,25.36,66.64,online
B-11,2026-09-01 20:00:00,0.369,5.24,20.9,1.22,27.91,59.74,online
B-11,2026-09-01 21:00:00,0.287,10.34,20.87,1.73,29.77,67.2,online
B-11,2026-09-01 22:00:00,0.37,8.79,20.9,1.23,28.1,61.51,online
B-11,2026-09-01 23:00:00,0.34,5.88,20.89,1.25,29.76,68.75,online
B-11,2026-09-02 00:00:00,0.373,9.32,20.61,1.28,26.24,62.41,online
B-11,2026-09-02 01:00:00,0.36,9.15,20.72,1.05,28.05,58.92,online
B-11,2026-09-02 02:00:00,0.273,8.56,20.94,1.45,24.56,66.52,online
B-11,2026-09-02 03:00:00,0.303,8.75,20.99,0.78,27.11,67.95,online
B-11,2026-09-02 04:00:00,0.237,10.66,20.84,1.51,27.14,69.07,online
B-11,2026-09-02 05:00:00,0.343,8.42,20.83,1.37,26.7,64.26,online
B-11,2026-09-02 06:00:00,0.294,8.69,20.92,1.04,27.81,72.41,online
B-11,2026-09-02 07:00:00,0.27,6.52,20.82,1.51,28.02,71.64,online
B-11,2026-09-02 08:00:00,0.334,9.52,20.87,1.88,27.69,54.98,online
B-11,2026-09-02 09:00:00,0.364,7.18,20.81,1.63,25.6,58.74,online
B-11,2026-09-02 10:00:00,0.236,6.57,20.85,1.43,28.41,57.94,online
B-11,2026-09-02 11:00:00,0.208,8.1,20.74,1.41,29.05,65.69,online
B-11,2026-09-02 12:00:00,0.33,8.41,20.86,1.12,27.73,65.98,online
B-11,2026-09-02 13:00:00,0.333,7.29,20.86,1.23,27.82,69.15,online
B-11,2026-09-02 14:00:00,0.22,5.67,20.62,0.72,26.98,68.75,online
B-11,2026-09-02 15:00:00,0.289,8.36,20.93,1.63,27.9,71.77,online
B-11,2026-09-02 16:00:00,0.304,6.49,20.73,0.93,26.67,63.21,online
B-11,2026-09-02 17:00:00,0.332,11.1,20.63,1.4,26.44,67.37,online
B-12,2026-09-01 18:00:00,0.295,4.7,20.91,1.15,27.2,59.65,online
B-12,2026-09-01 19:00:00,0.274,8.77,20.78,1.38,28.54,71.6,online
B-12,2026-09-01 20:00:00,0.286,5.34,20.93,1.22,29.67,66.92,online
B-12,2026-09-01 21:00:00,0.295,8.63,21.03,1.82,28.1,65.8,online
B-12,2026-09-01 22:00:00,0.343,6.48,20.84,1.29,28.47,60.83,online
B-12,2026-09-01 23:00:00,0.236,4.27,20.67,1.19,27.56,74.69,online
B-12,2026-09-02 00:00:00,0.344,6.27,20.84,1.2,27.57,65.93,online
B-12,2026-09-02 01:00:00,0.325,7.39,20.93,1.01,28.01,77.99,online
B-12,2026-09-02 02:00:00,0.309,10.58,20.81,1.45,27.91,64.15,online
B-12,2026-09-02 03:00:00,0.269,8.77,20.7,1.47,29.63,66.83,online
B-12,2026-09-02 04:00:00,0.289,8.82,20.76,1.53,25.25,63.32,online
B-12,2026-09-02 05:00:00,0.22,5.31,20.96,1.52,26.92,57.49,online
B-12,2026-09-02 06:00:00,0.181,7.02,21.09,1.41,27.16,67.33,online
B-12,2026-09-02 07:00:00,0.238,7.46,20.81,1.28,29.19,66.72,online
B-12,2026-09-02 08:00:00,0.327,6.76,20.91,1.71,26.54,60.56,online
B-12,2026-09-02 09:00:00,0.353,7.66,20.97,1.19,30.18,65.66,online
B-12,2026-09-02 10:00:00,0.31,10.82,20.76,1.06,27.33,67.26,online
B-12,2026-09-02 11:00:00,0.237,9.15,20.74,1.59,24.41,61.07,online
B-12,2026-09-02 12:00:00,0.293,8.51,20.75,1.38,28.02,64.2,online
B-12,2026-09-02 13:00:00,0.428,10.18,20.72,1.71,29.38,67.78,online
B-12,2026-09-02 14:00:00,0.492,17.66,20.55,1.58,28.07,59.84,online
B-12,2026-09-02 15:00:00,0.49,14.4,20.47,1.86,29.68,61.17,online
B-12,2026-09-02 16:00:00,0.636,19.33,20.38,1.74,30.82,65.94,online
B-12,2026-09-02 17:00:00,0.602,19.88,20.35,1.8,30.68,57.73,online
H-01,2026-09-01 18:00:00,0.353,10.25,20.77,1.39,24.39,59.22,online
H-01,2026-09-01 19:00:00,0.288,6.07,20.89,1.8,26.24,60.81,online
H-01,2026-09-01 20:00:00,0.309,10.9,20.65,1.36,30.73,56.74,online
H-01,2026-09-01 21:00:00,0.249,7.24,20.74,1.5,28.36,56.13,online
H-01,2026-09-01 22:00:00,0.321,6.96,20.95,1.14,27.05,67.71,online
H-01,2026-09-01 23:00:00,0.331,8.81,20.6,1.43,26.45,66.18,online
H-01,2026-09-02 00:00:00,0.243,8.8,20.7,0.98,29.07,66.21,online
H-01,2026-09-02 01:00:00,0.275,10.61,20.75,1.31,28.4,61.9,online
H-01,2026-09-02 02:00:00,0.319,7.04,20.75,1.64,26.44,52.94,online
H-01,2026-09-02 03:00:00,0.364,12.59,20.75,0.82,27.53,63.57,online
H-01,2026-09-02 04:00:00,0.292,6.0,20.87,1.43,25.76,68.5,online
H-01,2026-09-02 05:00:00,0.382,8.31,20.76,1.26,28.92,56.35,online
H-01,2026-09-02 06:00:00,0.307,7.3,21.02,1.26,30.5,59.48,online
H-01,2026-09-02 07:00:00,0.323,8.57,20.7,1.34,29.82,63.38,online
H-01,2026-09-02 08:00:00,0.232,7.97,20.69,1.21,27.88,56.47,online
H-01,2026-09-02 09:00:00,0.235,8.87,20.74,0.66,29.18,66.36,online
H-01,2026-09-02 10:00:00,0.271,5.63,20.9,1.39,31.57,67.1,online
H-01,2026-09-02 11:00:00,0.316,7.7,20.9,1.46,29.88,62.39,online
H-01,2026-09-02 12:00:00,0.283,7.14,20.89,1.67,27.31,62.88,online
H-01,2026-09-02 13:00:00,0.313,7.56,20.91,0.74,26.76,61.09,online
H-01,2026-09-02 14:00:00,0.207,6.27,20.69,1.25,29.67,63.77,online
H-01,2026-09-02 15:00:00,0.259,7.9,20.93,1.06,26.63,67.79,online
H-01,2026-09-02 16:00:00,0.291,9.17,20.8,1.48,26.45,64.94,online
H-01,2026-09-02 17:00:00,0.292,5.81,20.61,1.47,27.47,59.89,online
H-02,2026-09-01 18:00:00,0.296,10.03,20.53,0.93,26.62,72.31,online
H-02,2026-09-01 19:00:00,0.311,9.38,20.66,1.02,28.67,65.29,online
H-02,2026-09-01 20:00:00,0.322,7.66,20.83,1.34,29.17,69.04,online
H-02,2026-09-01 21:00:00,0.235,3.95,20.92,1.6,26.47,55.7,online
H-02,2026-09-01 22:00:00,0.304,9.68,21.02,1.43,27.44,60.53,online
H-02,2026-09-01 23:00:00,0.3,7.46,20.68,1.81,30.68,70.68,online
H-02,2026-09-02 00:00:00,0.263,9.54,20.88,1.41,29.87,68.18,online
H-02,2026-09-02 01:00:00,0.33,9.15,20.84,0.85,28.13,62.22,online
H-02,2026-09-02 02:00:00,0.249,11.03,21.01,1.64,28.38,71.75,online
H-02,2026-09-02 03:00:00,0.3,8.37,20.67,1.4,28.09,58.49,online
H-02,2026-09-02 04:00:00,0.298,7.86,21.02,1.52,28.02,66.24,online
H-02,2026-09-02 05:00:00,0.302,7.63,20.67,1.26,26.88,58.75,online
H-02,2026-09-02 06:00:00,0.32,8.7,20.59,1.27,29.49,70.3,online
H-02,2026-09-02 07:00:00,0.341,8.07,20.7,1.03,28.52,66.9,online
H-02,2026-09-02 08:00:00,0.351,9.98,20.78,0.99,27.52,66.09,online
