zone_id,zone_name,zone_type,latitude,longitude
A-01,Panel A-01,Production Panel,23.754,85.862
A-02,Panel A-02,Production Panel,23.752,85.868
B-11,Panel B-11,Production Panel,23.75,85.871
B-12,Panel B-12,Production Panel,23.748,85.873
H-01,Haul Road H-01,Haul Road,23.753,85.866
H-02,Haul Road H-02,Haul Road,23.756,85.864
W-01,Workshop W-01,Workshop,23.757,85.872
V-01,Ventilation V-01,Ventilation Station,23.755,85.874
C-01,Crusher C-01,Crusher Area,23.758,85.87
S-01,Storage S-01,Storage Area,23.759,85.867
